seed1,seed2,Data_Loss,Physics_Loss,BC_Loss,E_max_diff,R2
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235
66,44,6.1808891587133985e-06,1.1792449186032172e-06,7.492055374314077e-06,0.0,0.9960080321352626
43,86,6.787365236959886e-06,2.5374993128934875e-06,9.204719390254468e-06,0.0,0.995601287100641
8,70,7.350759915425442e-06,1.7344299294563825e-06,6.676244993286673e-06,0.0,0.9952945539161712
20,9,8.192073437385261e-06,2.126737172147841e-06,1.014830468193395e-05,0.0,0.9947371289946486
53,98,7.361812095041387e-06,1.5540975937256007e-06,8.421748134423979e-06,0.0,0.9952924190292249
74,76,6.9763414103363175e-06,1.186134795716498e-05,8.781090400589164e-06,0.0,0.9954528447261128
72,79,5.380190941650653e-06,2.613626747915987e-06,8.189361324184574e-06,0.0,0.9965304243329063
51,12,7.562813152617309e-06,2.835626901287469e-06,7.178164196375292e-06,0.0,0.9950967860249557
84,45,6.6251191128685605e-06,2.6789302864926867e-06,6.94827713232371e-06,0.0,0.9957951933133761
50,37,6.184580342960544e-06,4.285253453417681e-06,9.759260137798265e-06,16384.0,0.9960730280758718
18,93,5.610297648672713e-06,4.120142421015771e-06,1.0675850717234425e-05,0.0,0.9962730784884829
78,65,5.327965482138097e-06,1.601923031557817e-06,8.958528269431554e-06,0.0,0.9965231696371496
40,83,6.024066351528745e-06,2.2968986286286963e-06,7.2373877628706396e-06,0.0,0.9961593870021418
55,44,9.244070497516077e-06,1.0671261634342954e-06,4.934750904794782e-06,0.0,0.9939915749787552
45,22,5.167333711142419e-06,2.0725203739857534e-06,9.545898137730546e-06,0.0,0.9966702183589028
9,56,6.267653134273132e-06,8.549364451937436e-07,9.42268979997607e-06,0.0,0.9959974501779547
89,6,4.857398380408995e-06,2.9640762022609124e-06,1.1193250429641921e-05,16384.0,0.9968688181355837
86,83,6.602289886359358e-06,2.2228402940527303e-06,6.436486273742048e-06,16384.0,0.9957079174566352
27,63,6.0099541769886855e-06,9.384080499330594e-07,9.273100658901967e-06,0.0,0.9961272756274845
16,76,6.7829282670572866e-06,8.788535978965228e-07,5.498657628777437e-06,16384.0,0.9955962309206123
70,35,5.575399882218335e-06,2.1621337964461418e-06,9.251942174159922e-06,16384.0,0.9963770379182133
6,98,5.491135652846424e-06,1.4512681900669122e-06,1.0468072105140891e-05,0.0,0.9963668256175389
45,90,5.167068593436852e-06,1.510171159679885e-06,9.472945748711936e-06,0.0,0.9966703896727046
68,78,4.8760448407847434e-06,5.515369139175164e-06,1.0845243195944931e-05,0.0,0.9967619096480445
76,19,6.138956450740807e-06,1.9898827758879634e-06,7.5595635280478746e-06,0.0,0.9959901494708854
36,47,4.832650120079052e-06,1.1699677315846202e-06,7.480275598936714e-06,0.0,0.9969183297284182
50,4,6.1843416006013285e-06,4.3964319047518075e-06,9.324448910774663e-06,0.0,0.9960731785690258
55,15,9.256910743715707e-06,4.2281308765268477e-07,6.452706657000817e-06,16384.0,0.9939832283121554
75,68,4.9934442358789966e-06,2.2737858671462163e-06,9.51837319007609e-06,0.0,0.9967883350710641
93,75,5.0054245548381004e-06,1.6922766690186108e-06,1.0710313290474005e-05,0.0,0.9967438047166571
37,97,6.026682513038395e-06,2.5119036308751674e-06,6.067275990062626e-06,0.0,0.9960840183473443
41,32,5.188286195334513e-06,7.095093792486296e-07,7.334318524954142e-06,0.0,0.9965791365354131
91,37,5.060791863797931e-06,4.6093316541373497e-07,7.681224815314636e-06,16384.0,0.9967116179171482
7,47,4.770337909576483e-06,6.085830591473496e-06,1.0145640771952458e-05,0.0,0.9969472856534759
80,19,5.765900823462289e-06,1.575766191308503e-06,8.398804311582353e-06,0.0,0.9962409602909126
46,13,6.095478511269903e-06,8.969902864919277e-07,7.788835318933707e-06,0.0,0.9960135287674604
69,48,5.125762982061133e-06,3.08722860609123e-06,9.976425644708797e-06,0.0,0.9966645489016884
33,22,4.97237761010183e-06,2.161988277293858e-06,8.370012437808327e-06,16384.0,0.9968001384520427
57,67,4.743289537145756e-06,3.518122184686945e-07,1.0057826330012176e-05,16384.0,0.9968852980414926
94,44,4.801132490683813e-06,1.1722917179213255e-06,8.692513802088797e-06,16384.0,0.9969269260437575
16,84,6.796436082368018e-06,4.128690306970384e-06,8.78279661264969e-06,0.0,0.995587462618104
63,70,6.439379831135739e-06,1.5584780612698523e-06,9.987941666622646e-06,0.0,0.9957460962600212
9,31,9.899158612824976e-05,0.00010951064177788794,0.01639765501022339,157391810000.0,0.9367835405918968
77,84,6.158315954962745e-06,2.0559759832394775e-06,8.020838322408963e-06,0.0,0.9960540908553159
43,81,6.786186077079037e-06,8.104470339276304e-07,8.820772563922219e-06,16384.0,0.9956020520994309
85,39,8.15674320620019e-06,1.1856321862069308e-06,7.5471675700100604e-06,0.0,0.9947721892139253
90,29,6.318497980828397e-06,6.492864486062899e-07,1.3482106623996515e-05,0.0,0.9959175955159708
24,68,6.182954166433774e-06,2.21440154746233e-06,9.742773727339227e-06,0.0,0.9959220909298611
64,14,5.583417532761814e-06,5.302846943777695e-07,4.666193490265869e-06,16384.0,0.9964437387432201
84,20,6.6270176830585115e-06,2.758393520707614e-06,7.2431676017004065e-06,0.0,0.9957939892383382
81,0,5.191574928176124e-06,1.3381292092162766e-06,1.1825832189060748e-05,0.0,0.996646991074659
80,79,5.761587999586482e-06,2.4609032607258996e-06,7.971017112140544e-06,0.0,0.9962437700975497
78,67,5.32684362042346e-06,5.18711374297709e-07,8.649478331790306e-06,0.0,0.9965239012424069
47,71,5.638503807858797e-06,1.273499833587266e-06,5.9185890677326825e-06,16384.0,0.9963682558392377
27,78,6.002760073897662e-06,5.593916739599081e-06,7.544507298007375e-06,0.0,0.9961319107826858
56,46,6.128306267783046e-06,9.181031259686279e-07,9.30927853914909e-06,0.0,0.9959809753655122
51,57,7.567860393464798e-06,9.241858265340852e-07,8.227696525864303e-06,0.0,0.9950935126817692
3,14,7.174190159275895e-06,9.0427528220971e-07,4.446194452611962e-06,16384.0,0.9953427506366556
24,11,6.184508038131753e-06,1.4413651570066577e-06,1.016474016068969e-05,0.0,0.9959210661685054
44,67,5.4056035878602415e-06,5.683384074472997e-07,8.10320216260152e-06,0.0,0.9964761396893907
66,47,6.185854545037728e-06,8.269187787846022e-07,8.380049621337093e-06,0.0,0.9960048250047852
86,57,6.605783255508868e-06,1.4131003808870446e-05,7.197912964329589e-06,0.0,0.9957056446380619
7,77,4.766710844705813e-06,1.1475630117274704e-06,8.424724910582881e-06,16384.0,0.9969496065886506
58,64,5.6160952226491645e-06,1.4534900856233435e-06,6.875949566165218e-06,0.0,0.9964207192891987
57,55,4.738440566143254e-06,1.2103671451768605e-06,6.9706220529042184e-06,0.0,0.9968884816353227
80,30,5.762618911830941e-06,2.651571094247629e-06,8.134163181239273e-06,0.0,0.9962430989780416
60,3,6.141357516753487e-06,1.358729036837758e-06,9.11191000341205e-06,0.0,0.9959713562944059
35,44,6.894701982673723e-06,1.160641204478452e-06,9.706460332381539e-06,0.0,0.9955119362888728
99,21,4.700656063505448e-06,1.1508839179441566e-06,6.408112767530838e-06,0.0,0.9969229784413856
27,41,6.008581294736359e-06,2.4803528049233137e-06,8.762079232838005e-06,0.0,0.9961281594166229
100,86,5.909119408897823e-06,2.56500447903818e-06,9.897016752802301e-06,0.0,0.9961327997707624
3,23,7.187430128396954e-06,2.392172973486595e-06,6.7034347921435256e-06,0.0,0.9953341543444102
82,5,6.52965672998107e-06,9.152179814009287e-07,8.998335033538751e-06,0.0,0.9957381879709302
86,28,6.598249910894083e-06,1.0534670309425564e-06,5.868684638699051e-06,0.0,0.9957105421795166
92,29,6.587293682969175e-06,6.472515110544919e-07,5.143540420249337e-06,0.0,0.9957497443103629
43,66,6.785624464100692e-06,6.234025704543456e-07,8.642602551844902e-06,16384.0,0.9956024159893636
12,56,5.2462082749116234e-06,9.523334938421613e-07,9.559246791468468e-06,0.0,0.9965889892161854
51,79,7.568331966467667e-06,1.296788241234026e-06,8.413122486672364e-06,0.0,0.9950932079514186
100,67,5.901871645619394e-06,4.155378405812371e-07,7.822019142622594e-06,0.0,0.9961375437504493
41,41,5.1860224630218e-06,2.208335899922531e-06,7.025332251942018e-06,0.0,0.9965806275675845
42,82,3.6830160752288066e-06,1.6089429664134514e-06,6.409479283320252e-06,16384.0,0.9975669088582515
32,16,5.547223281610059e-06,3.832369202427799e-06,8.311840247188229e-06,16384.0,0.9963539210551002
33,2,4.970829650119413e-06,4.363979257959727e-07,8.005281415535137e-06,0.0,0.996801135094095
10,9,4.336183337727562e-06,2.0702223082480486e-06,8.258798516180832e-06,0.0,0.9972214405679128
77,72,6.160045813885517e-06,1.2295537317186245e-06,8.504490324412473e-06,0.0,0.9960529825672192
70,46,5.574364877247717e-06,4.580867425829638e-06,8.972659998107702e-06,0.0,0.9963777096700869
72,16,5.377195066103013e-06,4.00884846385452e-06,7.631279004272074e-06,0.0,0.9965323559619355
90,50,6.320524789771298e-06,1.3117512480675941e-06,1.1739036381186452e-05,16384.0,0.9959162865501077
94,15,4.800025635631755e-06,4.676590776853118e-07,8.489452739013359e-06,0.0,0.9969276345901797
50,70,6.180786385812098e-06,1.624931655896944e-06,8.187735147657804e-06,0.0,0.9960754354913504
50,45,6.182815013744403e-06,2.4674002361280145e-06,8.758062904234976e-06,0.0,0.9960741479704281
16,38,6.795970875828061e-06,4.650774826586712e-06,9.124615644395817e-06,0.0,0.9955877632044444
24,30,6.1834603002353106e-06,1.199705366161652e-06,9.880059224087745e-06,0.0,0.9959217558046974
69,63,5.127680651639821e-06,6.06414118919929e-07,1.1177029591635801e-05,0.0,0.9966632997860525
61,36,5.9000162764277775e-06,2.844966957127326e-06,7.789521987433545e-06,0.0,0.9962033019419283
96,8,6.328883500827942e-06,1.1017920087397215e-06,7.83143605076475e-06,0.0,0.995833662629804
34,11,4.881985205429373e-06,1.693474814601359e-06,1.0048495823866688e-05,0.0,0.9967810208467026
34,97,4.881238055531867e-06,4.3116433516843244e-06,9.84411144600017e-06,16384.0,0.9967815125995643
36,91,4.837482265429571e-06,1.2680093277595006e-06,8.33441208669683e-06,0.0,0.9969152474094742
